Age,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Employment_Years,Num_Dependents,Existing_Debt,Education_Level,Property_Ownership,Loan_Purpose,Num_Prev_Loans,Num_Late_Payments,Debt_To_Income,Loan_To_Income,Loan_Approved
37,159702,131457,12,471,7,0,53441,0,1,1,6,1,0.335,0.823,1
60,175667,21576,60,315,31,3,54598,2,0,2,1,2,0.311,0.123,0
53,101021,124875,48,355,12,0,79220,1,1,3,6,9,0.784,1.236,0
29,184380,44405,60,402,19,0,20642,1,0,0,4,9,0.112,0.241,1
63,69789,99000,36,583,29,0,69907,2,0,3,1,2,1.002,1.419,1
59,51086,36601,36,816,9,4,12651,0,1,1,2,3,0.248,0.716,1
49,41859,72946,12,577,30,0,1665,3,0,2,0,5,0.04,1.743,0
62,32684,57116,36,568,24,3,6918,2,0,1,1,2,0.212,1.748,0
46,116088,109186,24,699,28,4,23007,0,1,3,2,8,0.198,0.941,1
55,157279,67894,36,802,23,3,75730,3,0,2,1,1,0.482,0.432,1
45,71099,12465,12,385,20,4,25035,2,0,2,5,6,0.352,0.175,1
44,91093,61754,12,619,8,1,76749,2,1,2,2,5,0.843,0.678,0
33,185761,97850,24,331,1,1,22211,1,0,0,3,1,0.12,0.527,1
27,73651,114765,12,635,3,1,54587,1,0,1,7,2,0.741,1.558,0
56,38893,97691,48,350,7,1,26866,1,1,3,2,5,0.691,2.512,0
40,91418,43871,60,378,31,4,7344,3,0,0,4,9,0.08,0.48,0
21,150074,34511,36,473,13,0,68737,2,0,3,6,3,0.458,0.23,0
28,128065,85960,48,800,12,2,70288,1,0,0,2,0,0.549,0.671,0
36,155351,70776,36,375,20,5,62546,1,1,2,1,0,0.403,0.456,0
34,63635,49462,48,615,23,2,10327,2,0,0,3,2,0.162,0.777,0
32,120071,37574,36,672,17,1,48659,3,1,1,7,7,0.405,0.313,0
43,103518,107072,24,380,25,0,45797,1,0,1,7,3,0.442,1.034,0
35,131233,83282,12,370,31,3,71627,0,0,3,3,0,0.546,0.635,0
48,128651,114779,12,370,32,0,27608,3,0,2,2,7,0.215,0.892,0
54,97805,23557,24,345,30,3,28285,1,0,2,1,9,0.289,0.241,0
22,184136,77104,48,346,17,2,48634,0,0,3,7,5,0.264,0.419,0
52,147813,142152,60,721,34,0,40289,1,0,1,3,0,0.273,0.962,0
43,104063,149926,48,448,11,0,18007,3,0,1,5,9,0.173,1.441,0
42,27454,127013,12,429,24,5,25257,2,0,3,2,9,0.92,4.626,0
45,45878,46081,60,755,30,2,29784,2,0,2,2,5,0.649,1.004,1
42,169063,140440,36,804,9,0,38588,3,1,3,6,0,0.228,0.831,0
42,93344,124181,60,543,33,3,44221,1,0,3,7,9,0.474,1.33,0
62,129946,32094,48,773,2,0,21378,3,1,0,7,9,0.165,0.247,1
26,61593,71766,24,681,7,3,4696,0,1,3,7,2,0.076,1.165,1
35,61304,88053,36,402,31,1,34635,1,0,1,2,1,0.565,1.436,0
63,186458,6301,48,788,28,0,58543,3,1,3,3,3,0.314,0.034,1
57,138613,86463,36,336,21,3,19207,2,1,2,0,1,0.139,0.624,1
53,177155,29466,60,848,19,2,27524,3,1,2,1,4,0.155,0.166,0
28,43354,31081,12,819,5,1,28554,1,1,1,4,3,0.659,0.717,1
64,47190,29354,48,632,28,0,11817,3,0,2,4,5,0.25,0.622,1
64,31142,98297,24,696,16,5,55258,2,1,3,7,6,1.774,3.156,0
25,184470,23300,60,595,30,3,62582,0,0,1,1,1,0.339,0.126,0
59,66862,69384,48,406,33,5,168,3,1,2,0,1,0.003,1.038,0
24,175575,100027,24,829,3,0,42981,3,1,3,6,7,0.245,0.57,0
26,150438,126684,48,382,1,3,65199,0,1,2,6,8,0.433,0.842,0
52,73456,65892,60,587,11,0,64948,3,0,0,6,4,0.884,0.897,0
50,125167,40525,48,760,34,1,57782,2,0,2,6,6,0.462,0.324,0
55,107035,11464,36,514,5,1,61599,0,0,1,1,8,0.576,0.107,0
60,33016,21562,60,580,7,0,73563,2,0,3,2,0,2.228,0.653,0
36,27384,112392,48,758,20,0,16291,2,1,3,5,7,0.595,4.104,0
33,171144,60514,12,643,34,4,53833,2,0,1,1,9,0.315,0.354,0
62,127239,118428,48,493,14,0,32992,1,1,0,1,9,0.259,0.931,1
50,136431,117564,36,457,6,0,39350,0,0,3,5,8,0.288,0.862,0
39,105018,113047,24,764,14,5,1573,1,1,1,3,8,0.015,1.076,0
37,65510,37634,24,403,5,5,8577,1,1,2,4,9,0.131,0.574,1
39,46826,5060,24,333,16,1,8712,3,0,0,7,6,0.186,0.108,0
48,93026,14269,12,401,3,5,29948,0,1,1,4,9,0.322,0.153,0
46,146668,28065,36,624,21,0,77700,3,1,2,7,2,0.53,0.191,1
57,181590,7895,60,440,31,2,5217,1,1,3,2,4,0.029,0.043,0
46,49045,85859,24,773,21,0,60178,3,1,3,5,1,1.227,1.751,1
43,115102,148424,36,330,26,4,26409,2,1,0,6,9,0.229,1.289,0
29,76919,109127,48,362,14,3,49040,1,0,2,6,2,0.638,1.419,0
32,124441,101426,12,386,21,1,78270,2,0,1,2,9,0.629,0.815,0
21,183175,16962,36,603,27,5,79066,0,1,3,3,6,0.432,0.093,0
21,192260,38302,36,360,8,2,77930,3,1,1,2,0,0.405,0.199,1
54,161917,90382,60,695,33,3,67035,1,0,1,5,2,0.414,0.558,0
52,192746,9011,36,633,8,2,9669,0,0,1,5,4,0.05,0.047,1
45,143325,134716,60,710,14,1,58247,2,0,0,0,3,0.406,0.94,1
60,44337,24782,12,583,19,5,58975,3,1,1,3,2,1.33,0.559,0
21,178385,125654,12,765,7,4,28562,3,1,0,5,5,0.16,0.704,0
36,183015,14196,48,379,27,1,21629,1,0,0,5,5,0.118,0.078,0
59,102949,48459,60,376,18,2,61463,3,0,2,3,3,0.597,0.471,0
25,25276,92245,60,839,15,2,46007,3,0,3,6,8,1.82,3.65,1
42,76151,83863,24,660,10,1,18128,2,1,1,1,5,0.238,1.101,1
49,173683,128206,24,376,7,0,2039,2,1,2,6,8,0.012,0.738,0
23,168016,106010,48,808,32,1,3857,2,1,2,1,9,0.023,0.631,0
32,77887,37769,12,463,9,5,59019,0,0,2,0,9,0.758,0.485,0
46,106442,112529,24,308,17,5,70486,0,1,2,6,1,0.662,1.057,0
36,74847,29700,36,474,34,4,12735,3,0,2,5,5,0.17,0.397,0
57,83653,10269,12,761,2,1,34511,0,0,1,3,3,0.413,0.123,0
42,81622,126631,36,606,26,3,46051,1,0,2,3,1,0.564,1.551,1
49,52810,48880,60,544,27,5,52693,2,1,3,7,4,0.998,0.926,0
34,102842,119003,12,421,5,5,69152,0,1,0,1,2,0.672,1.157,0
48,147225,144392,48,484,13,5,29756,3,1,0,6,5,0.202,0.981,1
25,35503,54589,60,331,6,0,3894,2,1,3,4,7,0.11,1.538,1
50,109761,40897,60,609,9,3,43232,0,1,1,4,3,0.394,0.373,1
25,193048,19380,36,671,14,1,53214,2,1,0,5,3,0.276,0.1,1
32,151439,75934,60,355,30,0,69817,0,0,3,1,4,0.461,0.501,0
36,36590,60830,24,572,28,5,63862,3,0,3,5,5,1.745,1.662,1
46,166958,10529,12,763,16,3,30036,0,1,2,2,6,0.18,0.063,1
46,168938,99598,24,755,28,3,18584,0,1,0,3,5,0.11,0.59,0
41,91624,87987,36,548,14,0,32308,0,1,2,6,6,0.353,0.96,1
59,188864,54178,36,377,25,5,28333,2,0,1,6,8,0.15,0.287,0
56,165836,143009,12,833,11,0,35949,0,1,0,5,3,0.217,0.862,1
53,145356,126952,60,407,24,2,39288,0,0,0,0,9,0.27,0.873,1
50,67727,44886,48,572,4,5,78588,0,1,3,6,0,1.16,0.663,0
57,103471,54699,36,314,3,0,77807,2,0,0,4,8,0.752,0.529,1
43,33068,81396,12,669,30,1,45267,3,0,1,5,6,1.369,2.461,0
30,141923,95678,48,603,2,5,32175,3,1,1,2,3,0.227,0.674,0
25,163367,30279,60,504,2,4,8915,3,0,0,3,9,0.055,0.185,1
56,197232,115776,36,412,25,5,72454,0,0,3,7,7,0.367,0.587,1
54,36390,106444,12,552,16,2,59722,2,0,1,6,6,1.641,2.925,0
51,131752,111300,12,740,9,0,65298,3,0,2,7,1,0.496,0.845,1
30,176203,118793,12,485,1,4,13805,3,1,1,2,0,0.078,0.674,1
39,119754,121278,36,526,23,2,40517,3,0,0,7,8,0.338,1.013,0
52,100969,108247,48,827,10,1,54716,1,0,2,5,6,0.542,1.072,0
21,171110,13997,12,653,23,5,2871,2,0,0,3,9,0.017,0.082,1
25,102064,111102,60,300,34,4,37375,1,1,0,3,0,0.366,1.089,0
24,46281,90711,12,719,22,0,45741,0,1,0,1,3,0.988,1.96,0
36,79189,121045,48,460,31,0,23148,3,0,3,1,4,0.292,1.529,0
44,73511,45860,36,460,22,1,5834,0,1,3,7,4,0.079,0.624,0
36,147115,8225,12,427,33,2,42680,2,1,1,0,4,0.29,0.056,1
22,33605,115114,12,450,18,4,3399,0,1,0,0,2,0.101,3.426,1
48,125318,118218,60,743,1,1,64091,0,1,2,6,4,0.511,0.943,1
52,157453,105764,60,770,1,2,21762,3,1,2,7,3,0.138,0.672,1
47,44810,112041,12,762,14,3,51009,2,1,2,2,4,1.138,2.5,0
40,180394,117224,12,329,20,3,76493,0,1,3,1,6,0.424,0.65,0
44,66869,68656,60,772,34,2,51548,1,0,3,3,4,0.771,1.027,0
32,57955,81290,48,379,4,0,28340,3,0,0,1,7,0.489,1.403,0
55,86388,61633,24,338,26,0,61365,1,0,2,7,7,0.71,0.713,0
53,35207,31655,24,539,23,3,59790,3,1,2,3,2,1.698,0.899,0
53,184292,126118,12,636,6,0,67797,0,0,3,1,4,0.368,0.684,0
63,47031,8114,60,579,5,0,11809,3,1,3,3,3,0.251,0.173,1
57,105807,31502,36,415,32,2,17696,0,1,2,7,4,0.167,0.298,1
32,96312,54768,36,568,16,5,51457,1,0,2,2,7,0.534,0.569,1
23,84766,53128,24,634,29,2,21891,0,0,1,1,3,0.258,0.627,1
21,168521,88123,48,611,7,0,59151,3,0,3,4,4,0.351,0.523,1
53,114833,113255,24,352,6,2,63008,3,0,0,4,6,0.549,0.986,0
60,136041,8174,12,367,5,4,52488,3,1,0,3,2,0.386,0.06,0
30,141185,122769,48,333,3,3,56632,1,0,2,2,5,0.401,0.87,0
63,35350,40398,36,685,0,5,66533,2,0,3,3,8,1.882,1.143,0
64,125859,140393,60,548,14,4,71889,1,1,0,2,3,0.571,1.115,0
49,93487,128549,60,410,30,4,57942,0,1,3,7,3,0.62,1.375,1
33,173694,77635,12,393,24,0,9275,0,1,2,0,5,0.053,0.447,0
32,148853,28760,24,709,32,0,19965,1,1,2,1,5,0.134,0.193,1
51,78117,147432,12,478,34,4,35854,1,1,2,2,2,0.459,1.887,0
22,126084,146385,60,346,4,4,15973,0,0,3,7,0,0.127,1.161,1
55,48782,135674,36,675,4,1,26878,0,0,0,3,2,0.551,2.781,0
43,53454,141873,60,501,16,1,17105,0,1,1,6,7,0.32,2.654,0
37,92904,19130,48,744,13,3,64746,2,0,0,6,7,0.697,0.206,0
46,154936,112215,60,596,28,4,39935,2,1,3,0,5,0.258,0.724,1
28,171664,93095,60,607,7,2,32784,1,0,0,6,6,0.191,0.542,0
49,178245,65942,48,792,33,5,31601,1,0,1,3,1,0.177,0.37,1
46,189276,148933,24,637,0,1,39865,2,0,0,4,8,0.211,0.787,0
30,191668,103970,60,365,28,0,78701,3,0,1,4,2,0.411,0.542,0
46,190396,87203,12,721,28,4,18616,2,0,3,1,1,0.098,0.458,0
54,147258,93177,60,839,4,2,11654,1,1,2,5,4,0.079,0.633,1
61,136668,77902,12,792,31,5,17830,2,0,1,1,0,0.13,0.57,1
27,149184,97172,48,616,23,2,16205,3,0,3,6,4,0.109,0.651,0
24,186822,25056,60,374,18,2,42425,1,0,2,0,9,0.227,0.134,1
31,41566,143454,48,358,11,0,77495,0,0,1,6,3,1.864,3.451,1
49,163262,60739,48,685,0,1,77355,1,1,2,4,5,0.474,0.372,1
56,63333,86685,24,314,6,2,35851,2,1,0,7,4,0.566,1.369,1
45,146929,53639,60,530,16,5,6952,2,1,3,2,8,0.047,0.365,0
41,114571,5992,12,498,33,1,47405,3,0,3,4,4,0.414,0.052,0
56,145263,77394,12,653,6,3,5391,2,1,3,5,7,0.037,0.533,0
30,157661,72657,60,334,16,0,62468,3,1,3,1,1,0.396,0.461,0
57,50235,32160,24,461,2,1,15091,1,1,1,3,2,0.3,0.64,0
29,25159,50156,24,770,28,1,30237,2,1,0,6,2,1.202,1.994,1
44,168217,91442,24,830,21,2,58353,1,0,2,0,2,0.347,0.544,0
55,187993,122925,12,722,28,5,74500,0,0,3,5,5,0.396,0.654,0
55,129859,9136,48,647,4,2,40682,0,0,3,4,6,0.313,0.07,1
56,172309,66868,24,446,29,5,49634,3,0,1,2,6,0.288,0.388,0
38,132507,87263,12,673,22,0,26968,2,1,1,5,6,0.204,0.659,1
59,164316,37167,12,715,20,1,54833,1,0,1,7,2,0.334,0.226,1
52,39743,115957,48,793,25,4,40205,1,0,0,7,0,1.012,2.918,0
44,71101,20479,60,555,20,5,76907,2,0,2,2,5,1.082,0.288,0
43,146534,124392,60,402,19,5,42541,1,1,0,2,2,0.29,0.849,0
52,109227,140895,24,420,22,2,28285,2,1,3,0,2,0.259,1.29,1
57,96126,24585,24,718,3,2,52513,2,1,1,7,2,0.546,0.256,0
32,81071,31619,48,649,20,3,15430,0,0,3,2,8,0.19,0.39,1
33,99763,80069,24,341,20,5,9033,2,0,2,2,3,0.091,0.803,0
43,168309,44895,48,666,0,0,19918,1,0,2,7,4,0.118,0.267,0
45,171721,8720,12,328,14,1,18256,2,0,0,4,2,0.106,0.051,0
55,193785,24267,24,313,16,1,48522,0,1,0,0,9,0.25,0.125,0
61,71154,58364,12,784,13,1,64353,0,0,1,7,0,0.904,0.82,0
50,32016,56567,36,488,18,5,31188,3,1,1,7,3,0.974,1.767,0
37,114678,96229,48,594,33,2,55134,1,1,3,3,0,0.481,0.839,0
40,137056,83518,36,482,5,0,52657,2,0,1,7,6,0.384,0.609,0
45,79238,87844,24,847,5,1,36088,1,1,1,3,6,0.455,1.109,0
42,83608,95697,12,336,4,5,14979,1,0,3,2,3,0.179,1.145,1
33,114081,62196,24,313,6,4,68264,2,0,2,5,4,0.598,0.545,0
39,187969,120600,36,458,32,3,50106,0,0,1,7,9,0.267,0.642,0
56,75961,105625,24,793,12,3,1595,1,0,1,1,6,0.021,1.391,0
32,51917,136567,60,628,0,1,32624,3,1,3,0,5,0.628,2.63,1
61,178808,49755,36,382,12,2,67824,1,1,3,6,3,0.379,0.278,0
39,52990,38324,24,321,26,3,40431,0,0,3,1,3,0.763,0.723,0
32,87551,83929,12,431,6,3,17127,3,1,3,0,1,0.196,0.959,1
29,178512,137624,24,764,2,3,17878,3,1,3,0,9,0.1,0.771,1
27,191277,56272,12,755,24,3,72480,3,1,1,4,1,0.379,0.294,1
48,105811,79462,60,601,32,1,60690,3,0,0,7,3,0.574,0.751,1
34,80103,59675,24,566,16,5,77838,2,0,0,2,4,0.972,0.745,0
51,197699,78591,60,694,13,0,56360,2,0,0,4,3,0.285,0.398,1
39,131122,37363,36,419,22,0,207,2,1,1,7,2,0.002,0.285,1
36,44008,82004,12,545,23,2,1083,3,0,2,5,1,0.025,1.863,1
25,57402,45718,36,337,28,5,51564,0,0,1,6,3,0.898,0.796,1
55,161865,118627,12,544,26,4,3311,1,0,0,1,4,0.02,0.733,1
32,161643,31870,60,320,22,0,23135,3,0,0,1,0,0.143,0.197,0
45,172281,42394,48,409,30,4,57109,0,0,3,3,0,0.331,0.246,0
41,138550,57057,24,693,16,0,61354,1,0,3,5,5,0.443,0.412,1
56,199220,84795,60,709,2,0,63647,3,1,3,6,4,0.319,0.426,0
43,116218,85409,12,307,4,2,59301,1,0,1,5,3,0.51,0.735,0
36,158296,18016,12,743,14,3,62233,2,1,2,7,0,0.393,0.114,1
59,145779,47137,12,627,5,2,46212,2,0,2,4,6,0.317,0.323,1
62,154714,136225,12,589,9,0,57776,2,1,3,7,3,0.373,0.88,0
59,57441,143925,24,810,31,5,71386,0,1,2,4,2,1.243,2.506,1
34,195201,17379,36,660,22,3,51588,2,1,0,5,6,0.264,0.089,1
51,87368,126169,48,518,16,5,31716,0,0,0,4,1,0.363,1.444,1
25,117122,131082,24,705,19,5,78255,2,0,3,3,9,0.668,1.119,0
55,69760,118089,12,519,14,5,21777,2,1,3,7,0,0.312,1.693,1
43,48478,16049,24,406,21,3,49285,2,1,3,6,3,1.017,0.331,0
49,152881,136858,60,585,5,5,28788,0,0,2,6,7,0.188,0.895,1
63,96854,127784,12,307,3,3,4019,1,0,1,4,5,0.041,1.319,0
31,119230,52691,48,488,22,4,75018,0,0,3,4,8,0.629,0.442,0
38,110716,62986,12,380,18,0,46873,3,1,2,6,0,0.423,0.569,0
32,168252,99774,48,407,30,1,9895,3,1,3,5,0,0.059,0.593,1
29,123538,110315,48,620,2,5,79671,0,1,1,6,4,0.645,0.893,0
30,40372,62204,36,645,27,2,49013,0,1,3,5,5,1.214,1.541,1
64,54796,25085,36,627,2,4,59570,1,1,0,4,7,1.087,0.458,0
37,123826,38980,24,601,13,2,75923,0,0,3,4,2,0.613,0.315,0
58,145592,61117,24,499,17,1,47672,2,1,0,7,5,0.327,0.42,0
27,118635,145416,48,718,26,3,6121,1,1,0,7,2,0.052,1.226,0
33,136022,20896,12,338,9,1,67863,0,0,2,5,7,0.499,0.154,0
60,79040,94353,60,606,14,2,18930,0,0,2,1,3,0.239,1.194,0
62,100357,34813,60,303,18,1,49987,3,0,0,2,1,0.498,0.347,0
29,103356,70679,12,376,8,0,35502,1,1,0,1,8,0.343,0.684,0
47,41211,146753,12,767,3,1,31688,3,0,3,4,9,0.769,3.561,1
22,130426,8228,36,478,14,5,7304,0,1,3,0,7,0.056,0.063,1
25,30842,140654,60,575,7,0,4049,1,0,0,0,5,0.131,4.56,0
49,91852,16397,48,451,0,5,14947,2,1,2,3,2,0.163,0.179,1
57,150737,42011,24,463,6,1,9495,0,1,3,1,1,0.063,0.279,1
58,70968,84183,36,589,30,0,24707,0,0,3,5,3,0.348,1.186,0
39,42508,98254,60,677,17,0,61920,3,1,3,7,3,1.457,2.311,0
28,178077,47317,12,609,11,1,44544,2,0,2,3,0,0.25,0.266,0
21,79575,107489,60,688,29,4,30706,0,1,0,3,8,0.386,1.351,1
42,175043,45096,48,482,32,3,33993,3,1,3,0,9,0.194,0.258,1
37,181671,58785,36,605,6,3,14987,3,1,2,1,7,0.082,0.324,0
27,91914,57344,12,371,27,3,19089,0,0,2,2,6,0.208,0.624,0
45,92055,125382,48,518,2,0,65997,1,1,2,6,5,0.717,1.362,0
24,112697,115489,24,472,5,3,9993,0,0,2,5,2,0.089,1.025,0
56,131239,16549,36,571,30,0,11465,2,1,3,1,3,0.087,0.126,1
26,148106,30739,48,767,14,4,32640,0,1,0,7,1,0.22,0.208,1
51,30355,26209,48,568,6,1,75997,1,0,0,3,6,2.504,0.863,0
39,79120,112051,12,319,29,1,12366,3,0,2,4,1,0.156,1.416,1
64,63342,20116,24,802,26,0,29895,2,1,0,3,9,0.472,0.318,1
59,27257,25045,48,446,16,0,1785,2,1,3,1,0,0.065,0.919,0
47,52364,40709,36,728,17,4,6242,2,1,0,0,5,0.119,0.777,0
30,181044,48617,48,464,21,3,24529,2,1,0,6,3,0.135,0.269,0
46,136715,124779,60,609,25,4,64399,1,1,1,1,7,0.471,0.913,0
39,51654,47919,36,817,26,1,6356,1,1,0,2,0,0.123,0.928,0
59,106423,88521,36,313,23,1,23229,1,0,0,5,8,0.218,0.832,0
23,54320,11447,48,431,7,5,18220,1,1,2,5,5,0.335,0.211,0
33,45808,10499,12,738,20,3,25651,3,0,2,4,1,0.56,0.229,1
48,77389,44041,36,562,28,1,61850,0,1,1,4,7,0.799,0.569,1
40,143581,36315,60,524,20,5,34261,1,1,3,3,4,0.239,0.253,1
48,152927,137371,12,557,2,0,58479,0,0,1,1,4,0.382,0.898,0
28,59773,125506,12,533,30,1,50700,2,1,0,5,4,0.848,2.1,0
61,183819,141066,12,635,26,2,42380,3,1,0,0,6,0.231,0.767,0
59,101396,143561,36,708,26,3,79833,3,0,3,2,6,0.787,1.416,1
21,132692,96647,12,323,8,5,27011,0,1,3,3,9,0.204,0.728,1
23,82505,37355,48,570,32,3,48603,0,0,2,1,6,0.589,0.453,1
33,110896,78805,12,394,32,3,18447,0,1,0,0,9,0.166,0.711,1
48,43135,73367,60,441,25,2,75877,3,1,0,1,1,1.759,1.701,1
45,115887,114906,24,380,27,4,74678,1,0,0,0,7,0.644,0.992,1
53,147118,122409,60,573,30,0,64583,3,0,0,7,0,0.439,0.832,0
58,72377,82355,36,575,0,3,63056,1,1,0,6,1,0.871,1.138,0
26,179626,121220,12,764,19,1,12017,2,0,0,1,6,0.067,0.675,1
64,87491,92173,12,507,11,0,37880,1,0,0,1,3,0.433,1.054,0
52,83283,6996,48,595,16,1,1355,0,0,0,7,9,0.016,0.084,0
41,41923,49387,12,338,14,0,58936,1,1,2,6,9,1.406,1.178,1
36,72591,8089,60,587,33,0,64608,1,0,1,5,8,0.89,0.111,0
41,87261,103827,36,423,15,5,79756,3,0,0,3,8,0.914,1.19,0
31,79336,25659,24,582,3,1,47266,0,0,2,1,2,0.596,0.323,1
57,99083,50178,12,479,7,1,54554,2,0,0,1,2,0.551,0.506,0
56,85948,100965,24,396,33,0,58215,1,0,3,3,8,0.677,1.175,0
55,189074,86268,12,490,24,3,60656,2,1,0,3,9,0.321,0.456,0
39,51672,90042,36,373,14,1,54104,0,1,1,4,7,1.047,1.743,0
40,29213,111471,60,746,27,2,76844,1,1,2,4,0,2.63,3.816,0
38,166365,75111,36,796,8,2,969,3,1,3,5,5,0.006,0.451,1
61,87507,105435,24,783,1,0,254,2,1,3,3,6,0.003,1.205,0
34,82134,94242,12,415,16,4,10306,3,0,0,6,7,0.125,1.147,0
35,158172,118204,24,834,9,0,65516,2,0,1,2,1,0.414,0.747,1
51,53172,22199,60,397,8,0,68197,0,1,1,5,0,1.283,0.417,0
21,45132,65038,36,627,30,3,18223,1,0,0,0,3,0.404,1.441,1
23,43199,62786,24,706,1,3,71441,2,0,0,7,0,1.654,1.453,0
36,61609,114636,24,612,23,5,67967,3,0,2,3,1,1.103,1.861,0
43,199037,54294,60,447,18,4,73292,2,1,2,4,2,0.368,0.273,1
31,164088,148737,12,641,16,4,70889,2,0,0,7,3,0.432,0.906,0
32,195851,5534,24,794,9,4,50117,2,0,0,1,5,0.256,0.028,0
30,56881,96828,60,322,27,4,1737,2,1,3,3,7,0.031,1.702,0
52,49472,41132,12,404,27,4,32476,2,1,1,3,8,0.656,0.831,0
36,192093,120720,12,521,0,0,24325,2,0,2,4,3,0.127,0.628,1
28,79131,41110,36,314,2,0,12326,3,0,0,4,0,0.156,0.52,0
58,180159,68580,60,377,14,5,12911,2,1,0,2,4,0.072,0.381,1
32,37828,69016,12,621,9,2,29080,2,1,2,5,4,0.769,1.824,0
44,121664,51233,36,540,20,2,22635,2,0,3,4,8,0.186,0.421,0
48,157473,134863,48,317,14,5,51179,1,0,3,4,5,0.325,0.856,1
28,40193,111311,60,753,22,5,5213,0,1,0,4,4,0.13,2.769,1
48,176379,39409,48,742,13,1,57142,0,0,1,7,9,0.324,0.223,1
56,127518,144810,12,576,14,0,63545,0,1,1,5,9,0.498,1.136,0
46,44611,29054,60,723,9,4,27940,3,1,0,1,4,0.626,0.651,1
28,199863,34709,36,775,8,1,48604,3,1,2,3,7,0.243,0.174,1
48,168022,114321,12,326,4,3,74332,3,0,1,3,0,0.442,0.68,1
48,101240,5363,60,813,24,0,49119,2,0,2,4,4,0.485,0.053,0
57,27745,15358,60,763,25,5,61604,0,1,2,6,0,2.22,0.554,1
61,80243,139312,48,662,7,2,16820,2,1,2,6,6,0.21,1.736,1
56,28866,50689,12,682,21,0,76502,1,1,3,5,6,2.65,1.756,1
47,188317,6936,36,824,24,5,67345,0,1,1,2,9,0.358,0.037,1
37,153681,117272,36,681,11,0,39314,1,0,3,4,7,0.256,0.763,0
29,96354,96074,12,483,8,0,40875,1,1,1,7,6,0.424,0.997,0
53,76374,5882,12,493,9,0,71041,2,1,0,5,8,0.93,0.077,0
40,139397,110227,24,761,9,3,70793,0,1,2,5,7,0.508,0.791,1
33,149577,130865,48,355,8,2,4909,1,0,1,7,7,0.033,0.875,0
48,186188,128745,12,529,25,0,14866,0,1,1,2,2,0.08,0.691,0
49,106029,33885,12,788,34,5,42789,1,1,0,5,9,0.404,0.32,0
33,118574,139275,24,327,26,3,65997,1,1,3,7,3,0.557,1.175,0
55,176519,138316,24,483,30,1,28460,2,1,1,3,3,0.161,0.784,0
26,55431,103322,60,724,18,0,48500,0,1,1,2,0,0.875,1.864,1
38,173980,73619,36,674,5,3,68769,2,0,3,2,5,0.395,0.423,0
25,54336,26584,48,340,14,4,12128,2,0,3,0,1,0.223,0.489,1
45,65992,13521,60,783,28,1,5202,2,0,1,2,8,0.079,0.205,0
22,80350,38541,12,559,4,2,65327,2,1,3,2,0,0.813,0.48,1
30,94561,34063,24,740,13,0,47965,2,1,0,7,0,0.507,0.36,0
50,76955,75268,36,383,1,0,31238,1,0,0,1,9,0.406,0.978,0
25,86240,131218,60,345,22,3,79258,0,1,2,3,5,0.919,1.522,1
53,176165,123206,36,739,18,2,49240,0,0,1,4,0,0.28,0.699,1
21,162227,138639,24,818,23,4,68837,2,1,0,7,2,0.424,0.855,0
38,71607,137746,60,737,19,1,54289,0,0,0,0,9,0.758,1.924,1
52,189559,81411,60,435,26,5,32544,1,0,0,2,1,0.172,0.429,1
31,177035,114876,36,482,23,2,60064,2,1,2,1,8,0.339,0.649,1
41,77870,145399,24,471,16,0,22413,3,1,3,1,4,0.288,1.867,1
46,89110,28331,12,838,24,3,48899,3,0,2,7,5,0.549,0.318,0
45,177008,28004,60,419,30,4,69969,1,0,2,5,1,0.395,0.158,1
42,141895,124243,12,580,27,3,33033,1,1,2,4,7,0.233,0.876,0
47,29426,146564,24,607,27,1,1378,3,0,2,4,5,0.047,4.981,0
33,52606,149821,60,576,21,2,6503,2,1,1,6,7,0.124,2.848,0
53,53151,68217,60,829,4,3,42774,1,0,1,3,7,0.805,1.283,0
54,36308,94044,12,594,7,5,59608,3,1,0,6,0,1.642,2.59,0
61,115306,14045,48,352,27,5,33617,2,1,2,5,6,0.292,0.122,1
55,131984,25116,12,731,11,3,4814,1,1,2,2,1,0.036,0.19,1
21,27204,23667,12,351,24,0,58335,0,0,0,1,7,2.144,0.87,1
41,117769,80057,48,371,14,3,23763,0,1,3,0,1,0.202,0.68,0
26,112265,79205,24,327,33,4,10000,0,1,1,3,3,0.089,0.706,1
48,56131,32302,24,768,12,2,3274,2,1,2,7,1,0.058,0.575,1
37,77428,147355,60,846,7,1,49868,1,0,3,2,6,0.644,1.903,0
25,58870,77534,36,700,12,5,54232,3,1,3,5,4,0.921,1.317,1
51,128547,18440,36,500,5,3,14227,1,1,2,4,8,0.111,0.143,0
25,74067,116001,60,765,31,4,17279,0,1,2,5,4,0.233,1.566,0
58,137217,51501,36,678,20,5,74904,0,1,3,2,7,0.546,0.375,1
23,177679,137341,12,476,6,5,64940,2,1,1,5,1,0.365,0.773,0
43,181040,12868,12,351,25,1,42736,3,0,1,4,2,0.236,0.071,1
57,123934,82909,48,378,14,5,9651,2,1,2,2,5,0.078,0.669,0
57,167980,89523,48,684,22,4,79439,3,1,2,0,6,0.473,0.533,1
30,182495,20734,60,307,14,5,7771,1,0,0,6,9,0.043,0.114,0
30,99707,88600,60,513,15,5,78996,2,0,0,3,7,0.792,0.889,0
